Tipo movimiento,Fecha evento,Departamento,Municipio,Vereda,Longitud (°),Total de daños,Tipo movimiento (detalle),Subtipo movimiento,Subtipo movimiento (detalle)
Deslizamiento,2023-09-03,BOYACÁ,RONDÓN,RONDÓN,-73.1998,0.0,Reptación,Deslizamiento rotacional,Reptacion de suelos
Deslizamiento,2023-06-26,BOYACÁ,SANTANA,SANTANA,-73.492428,0.0,,Deslizamiento rotacional,
Deslizamiento,2023-05-25,BOYACÁ,SIACHOQUE,SIACHOQUE,-73.220261,0.0,,Deslizamiento traslacional,
Deslizamiento,2023-05-24,BOYACÁ,TOGÜÍ,TOGÜÍ,-73.493317,0.0,,Deslizamiento rotacional,
Deslizamiento,2023-05-05,BOYACÁ,CAMPOHER MOSO,CAMPOHER MOSO,-73.131278,1200.0,,Deslizamiento traslacional planar,
Deslizamiento,2023-04-28,BOYACÁ,TUTAZÁ,TUTAZÁ,-72.869956,0.0,,Deslizamiento rotacional,
Deslizamiento,2023-04-24,BOYACÁ,PAIPA,PALERMO,-73.174406,0.0,,Deslizamiento rotacional,
Deslizamiento,2023-04-20,BOYACÁ,GÁMEZA,GÁMEZA,-72.782139,0.0,,Deslizamiento rotacional,
Deslizamiento,2023-04-17,BOYACÁ,AQUITANIA,AQUITANIA,-72.877961,0.0,,Deslizamiento rotacional,
Deslizamiento,2023-03-22,BOYACÁ,TIBASOSA,TIBASOSA,-72.996297,0.0,,Deslizamiento rotacional,
Deslizamiento,2023-02-07,BOYACÁ,ARCABUCO,ARCABUCO,-73.414372,0.0,,Deslizamiento rotacional,
Deslizamiento,2023-01-27,BOYACÁ,VILLA DE LEIVA,VILLA DE LEIVA,-73.520833,0.0,,Deslizamiento rotacional,
Deslizamiento,2023-01-01,BOYACÁ,SIACHOQUE,SIACHOQUE,-73.185567,0.0,,Deslizamiento rotacional,
Deslizamiento,2022-11-05,ATLÁNTICO,PIOJÓ,PIOJÓ,-75.105811,5200000.0,Deslizamiento,Deslizamiento traslacional,Deslizamiento rotacional
Deslizamiento,2022-10-06,BOYACÁ,GARAGOA,CALDERA ABAJO,-73.363889,30000.0,,Deslizamiento traslacional,
Deslizamiento,2022-09-02,BOYACÁ,SANTANA,SANTANA,-73.4995,71399.0,,Deslizamiento rotacional,
Flujo,2022-08-14,CALDAS,RIOSUCIO,RIOSUCIO,-75.663611,2000.0,,Flujo de detritos,
Flujo,2022-08-14,CALDAS,RIOSUCIO,RIOSUCIO,-75.738755,3000.0,,Flujo de detritos,
Deslizamiento,2022-08-02,CALDAS,FILADELFIA,FILADELFIA,-75.564444,0.0,,Deslizamiento rotacional,
Deslizamiento,2022-08-02,BOYACÁ,BOYACÁ,BOYACÁ,-73.394075,3000.0,,Deslizamiento rotacional,
Deslizamiento,2022-07-31,CALDAS,FILADELFIA,FILADELFIA,-75.609722,0.0,,Deslizamiento traslacional,
Deslizamiento,2022-07-30,CALDAS,FILADELFIA,BALMORAL,-75.547222,0.0,,Deslizamiento traslacional,
Deslizamiento,2022-07-30,CALDAS,FILADELFIA,FILADELFIA,-75.551667,0.0,,Deslizamiento traslacional,
Deslizamiento,2022-07-29,CALDAS,AGUADAS,ALTO DE LA MONTA#A,-75.492222,0.0,Flujo,Deslizamiento rotacional,Flujo de tierra
Deslizamiento,2022-07-28,CALDAS,FILADELFIA,BALMORAL,-75.543611,0.0,,Deslizamiento traslacional,
Deslizamiento,2022-07-28,CALDAS,SUPIA,SUPIA,-75.647778,0.0,,Deslizamiento traslacional,
Deslizamiento,2022-07-27,CALDAS,RIOSUCIO,RIOSUCIO,-75.686111,0.0,,Deslizamiento traslacional,
Flujo,2022-07-27,CALDAS,AGUADAS,ALTO DE LA MONTA#A,-75.499722,0.0,,Flujo de detritos,
Deslizamiento,2022-07-27,CALDAS,FILADELFIA,FILADELFIA,-75.553611,0.0,,Deslizamiento traslacional,
Deslizamiento,2022-07-27,CALDAS,FILADELFIA,FILADELFIA,-75.553611,0.0,,Deslizamiento traslacional,
Deslizamiento,2022-07-26,CALDAS,ARANZAZU,ARANZAZU,-75.506389,1.0,Flujo,Deslizamiento traslacional,Flujo de detritos
Flujo,2022-07-26,CALDAS,SUPIA,SUPIA,-75.649167,0.0,Caida,Flujo de tierra,Caida de Tierras
Deslizamiento,2022-07-26,CALDAS,SUPIA,SUPIA,-75.674167,0.0,,Deslizamiento traslacional,
Deslizamiento,2022-07-26,CALDAS,SUPIA,SUPIA,-75.68,0.0,,Deslizamiento traslacional,
Deslizamiento,2022-07-20,CALDAS,RIOSUCIO,IBERIA,-75.670556,0.0,,Deslizamiento traslacional,
Deslizamiento,2022-07-20,CALDAS,AGUADAS,AGUADAS,-75.420556,0.0,,Deslizamiento traslacional,
Flujo,2022-07-20,CALDAS,AGUADAS,ARMA,-75.538333,0.0,,Flujo de detritos,
Flujo,2022-07-19,CALDAS,SUPIA,SUPIA,-75.650556,0.0,,Flujo de tierra,
